City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
105,uyuni,-20.4597,-66.825,59.31,35,100,6.33,BO,Tue Oct 17 14:15:43 2023
106,bikenibeu village,1.3673,173.1241,80.56,89,75,9.22,KI,Tue Oct 17 14:15:43 2023
107,luang prabang,19.8856,102.1347,69.94,88,99,0.83,LA,Tue Oct 17 14:15:43 2023
108,thompson,55.7435,-97.8558,57.36,62,40,5.75,CA,Tue Oct 17 14:15:43 2023
109,keflavik,64.0049,-22.5624,50.43,93,100,29.93,IS,Tue Oct 17 14:15:44 2023
110,atafu village,-8.5421,-172.5159,83.1,76,100,12.15,TK,Tue Oct 17 14:15:44 2023
111,pemangkat,1.1667,108.9667,80.26,81,100,5.14,ID,Tue Oct 17 14:15:44 2023
112,bathsheba,13.2167,-59.5167,88.41,66,40,14.97,BB,Tue Oct 17 14:15:44 2023
113,wenchang,30.904,118.4887,60.55,64,0,3.38,CN,Tue Oct 17 14:15:44 2023
114,chonchi,-42.6128,-73.8092,60.01,48,26,6.76,CL,Tue Oct 17 14:15:44 2023
115,praia,14.9215,-23.5087,82.94,78,40,13.8,CV,Tue Oct 17 14:15:44 2023
116,sulak,43.2734,47.5146,59.13,49,89,7.29,RU,Tue Oct 17 14:15:44 2023
117,papatowai,-46.5619,169.4708,40.75,78,100,5.08,NZ,Tue Oct 17 14:15:44 2023
118,dem'yanovo,60.3511,47.0842,40.39,97,100,3.47,RU,Tue Oct 17 14:15:45 2023
119,ataq,14.5377,46.8319,71.64,71,0,10.0,YE,Tue Oct 17 14:15:45 2023
120,olonkinbyen,70.9221,-8.7187,31.66,91,97,6.31,SJ,Tue Oct 17 14:15:45 2023
121,ambon,-3.6954,128.1814,81.88,95,40,2.3,ID,Tue Oct 17 14:15:23 2023
122,enewetak,11.3474,162.3373,83.46,75,61,15.1,MH,Tue Oct 17 14:15:45 2023
123,hermanus,-34.4187,19.2345,64.13,79,0,3.62,ZA,Tue Oct 17 14:15:45 2023
124,qaqortoq,60.7167,-46.0333,32.65,55,1,21.07,GL,Tue Oct 17 14:15:45 2023
125,rongelap,11.1635,166.8941,81.66,78,20,12.37,MH,Tue Oct 17 14:15:46 2023
126,magadan,59.5667,150.8,27.82,75,3,11.01,RU,Tue Oct 17 14:15:46 2023
127,coquimbo,-29.9533,-71.3436,60.78,69,60,6.29,CL,Tue Oct 17 14:12:39 2023
128,vilyuchinsk,52.9306,158.4028,44.92,84,97,1.99,RU,Tue Oct 17 14:15:46 2023
129,kumeny,58.1089,49.9161,34.75,95,100,27.89,RU,Tue Oct 17 14:15:46 2023
130,salinopolis,-0.6136,-47.3561,83.8,72,55,12.88,BR,Tue Oct 17 14:15:46 2023
131,shingu,33.7333,135.9833,59.32,75,0,5.37,JP,Tue Oct 17 14:15:46 2023
132,alaghsas,17.0187,8.0168,90.41,14,100,13.8,NE,Tue Oct 17 14:15:46 2023
133,port douglas,-16.4833,145.4667,68.05,94,99,3.76,AU,Tue Oct 17 14:15:46 2023
134,aoulef,26.9667,1.0833,86.58,14,2,9.08,DZ,Tue Oct 17 14:15:46 2023
135,choibalsan,48.0667,114.5,39.72,38,100,9.1,MN,Tue Oct 17 14:15:47 2023
136,queenstown,-31.8976,26.8753,58.46,64,0,2.98,ZA,Tue Oct 17 14:15:47 2023
137,zaranj,30.9667,61.8833,73.36,18,82,8.72,AF,Tue Oct 17 14:14:48 2023
138,waynesboro,38.0685,-78.8895,62.38,56,100,4.61,US,Tue Oct 17 14:15:47 2023
